Date,Stops,Price,Duration,Departure-Time,Airline
2024-10-30,2,893.0,40.58,17:15,Other Airlines
2024-10-30,2,893.0,40.58,17:15,Other Airlines
2024-10-30,2,1322.0,25.58,18:40,SWISS
2024-10-30,1,1839.0,23.17,20:50,Qantas Airways
2024-10-30,2,1163.0,33.92,16:40,Air France
2024-10-30,2,1347.0,26.83,17:25,Other Airlines
2024-10-30,2,1392.0,26.83,17:25,Other Airlines
2024-10-30,2,1387.0,27.08,17:25,Other Airlines
2024-10-30,2,1321.0,25.83,18:40,SWISS
2024-10-30,1,2023.0,23.17,20:50,Emirates
2024-10-30,3,1110.0,31.17,18:40,SWISS
2024-10-30,1,2041.0,23.17,20:50,Emirates
2024-10-30,2,1450.0,29.75,16:55,Turkish Airlines
2024-10-30,2,1586.0,27.58,16:55,Turkish Airlines
2024-10-30,1,1795.0,34.75,20:50,Qantas Airways
2024-10-30,2,1231.0,37.83,19:45,Other Airlines
2024-10-31,2,1008.0,27.75,16:30,Other Airlines
2024-10-31,2,702.0,30.5,16:30,Other Airlines
2024-10-31,3,660.0,57.17,13:05,Other Airlines
2024-10-31,2,894.0,27.58,06:15,Other Airlines
2024-10-31,2,683.0,33.92,13:05,Other Airlines
2024-10-31,2,722.0,32.75,14:15,Other Airlines
2024-10-31,2,1004.0,27.75,16:30,Other Airlines
2024-10-31,2,1019.0,26.92,06:40,Other Airlines
2024-10-31,1,1443.0,23.17,20:50,Emirates
2024-10-31,1,1443.0,23.17,20:50,Qantas Airways
2024-10-31,1,1443.0,23.17,20:50,Emirates
2024-10-31,2,872.0,33.42,11:50,Other Airlines
2024-10-31,2,872.0,33.42,11:50,Other Airlines
2024-10-31,2,872.0,33.42,11:50,Other Airlines
2024-10-31,2,879.0,31.0,16:00,British Airways
2024-10-31,1,1342.0,30.83,13:10,Emirates
2024-10-31,3,780.0,33.5,13:05,Other Airlines
2024-11-01,2,2432.0,31.25,14:10,Other Airlines
2024-11-01,1,1628.0,23.17,20:50,Qantas Airways
2024-11-01,2,1255.0,61.75,18:05,Finnair
2024-11-01,1,1628.0,23.17,20:50,Emirates
2024-11-01,2,1303.0,31.5,12:45,SWISS
2024-11-01,2,1446.0,26.17,18:15,British Airways
2024-11-01,2,1434.0,28.5,18:05,Finnair
2024-11-01,2,1342.0,31.33,16:00,British Airways
2024-11-01,2,1449.0,27.92,16:30,British Airways
2024-11-01,2,1324.0,32.42,11:50,Other Airlines
2024-11-01,1,1462.0,38.67,20:50,Qantas Airways
2024-11-01,1,2056.0,22.33,13:10,Qantas Airways
2024-11-01,1,1628.0,30.83,13:10,Emirates
2024-11-01,2,1434.0,30.92,18:05,Finnair
2024-11-01,2,1621.0,25.67,18:15,British Airways
2024-11-01,2,1324.0,35.75,08:30,Other Airlines
2024-11-01,1,1628.0,30.83,13:10,Qantas Airways
2024-11-02,2,1230.0,36.83,09:45,Finnair
2024-11-02,1,1462.0,22.33,13:10,Qantas Airways
2024-11-02,3,761.0,43.5,07:05,Other Airlines
2024-11-02,1,1468.0,22.33,13:10,Emirates
2024-11-02,2,1303.0,25.58,18:40,SWISS
2024-11-02,2,1211.0,25.83,18:40,SWISS
2024-11-02,1,1337.0,34.75,20:50,Emirates
2024-11-02,3,908.0,36.0,12:55,Other Airlines
2024-11-02,2,1198.0,36.83,09:45,Finnair
2024-11-02,1,1365.0,34.75,20:50,Qantas Airways
2024-11-02,3,782.0,43.92,06:40,Other Airlines
2024-11-02,1,1789.0,23.17,20:50,Qantas Airways
2024-11-02,2,1366.0,25.58,18:40,SWISS
