Stops,Price,Duration,Month,Airline,Departure-Time-Category
2,893.0,40.58,10,Other Airlines,5:00-11:00 PM
2,893.0,40.58,10,Other Airlines,5:00-11:00 PM
2,1322.0,25.58,10,SWISS,5:00-11:00 PM
1,1839.0,23.17,10,Qantas Airways,5:00-11:00 PM
2,1163.0,33.92,10,Air France,11:00-5:00 PM
2,1347.0,26.83,10,Other Airlines,5:00-11:00 PM
2,1392.0,26.83,10,Other Airlines,5:00-11:00 PM
2,1387.0,27.08,10,Other Airlines,5:00-11:00 PM
2,1321.0,25.83,10,SWISS,5:00-11:00 PM
1,2023.0,23.17,10,Emirates,5:00-11:00 PM
3,1110.0,31.17,10,SWISS,5:00-11:00 PM
1,2041.0,23.17,10,Emirates,5:00-11:00 PM
2,1450.0,29.75,10,Turkish Airlines,11:00-5:00 PM
2,1586.0,27.58,10,Turkish Airlines,11:00-5:00 PM
1,1795.0,34.75,10,Qantas Airways,5:00-11:00 PM
2,1231.0,37.83,10,Other Airlines,5:00-11:00 PM
2,1008.0,27.75,10,Other Airlines,11:00-5:00 PM
2,702.0,30.5,10,Other Airlines,11:00-5:00 PM
3,660.0,57.17,10,Other Airlines,11:00-5:00 PM
2,894.0,27.58,10,Other Airlines,5:00-11:00 AM
2,683.0,33.92,10,Other Airlines,11:00-5:00 PM
2,722.0,32.75,10,Other Airlines,11:00-5:00 PM
2,1004.0,27.75,10,Other Airlines,11:00-5:00 PM
2,1019.0,26.92,10,Other Airlines,5:00-11:00 AM
1,1443.0,23.17,10,Emirates,5:00-11:00 PM
1,1443.0,23.17,10,Qantas Airways,5:00-11:00 PM
1,1443.0,23.17,10,Emirates,5:00-11:00 PM
2,872.0,33.42,10,Other Airlines,11:00-5:00 PM
2,872.0,33.42,10,Other Airlines,11:00-5:00 PM
2,872.0,33.42,10,Other Airlines,11:00-5:00 PM
2,879.0,31.0,10,British Airways,11:00-5:00 PM
1,1342.0,30.83,10,Emirates,11:00-5:00 PM
3,780.0,33.5,10,Other Airlines,11:00-5:00 PM
2,2432.0,31.25,11,Other Airlines,11:00-5:00 PM
1,1628.0,23.17,11,Qantas Airways,5:00-11:00 PM
2,1255.0,61.75,11,Finnair,5:00-11:00 PM
1,1628.0,23.17,11,Emirates,5:00-11:00 PM
2,1303.0,31.5,11,SWISS,11:00-5:00 PM
2,1446.0,26.17,11,British Airways,5:00-11:00 PM
2,1434.0,28.5,11,Finnair,5:00-11:00 PM
2,1342.0,31.33,11,British Airways,11:00-5:00 PM
2,1449.0,27.92,11,British Airways,11:00-5:00 PM
2,1324.0,32.42,11,Other Airlines,11:00-5:00 PM
1,1462.0,38.67,11,Qantas Airways,5:00-11:00 PM
1,2056.0,22.33,11,Qantas Airways,11:00-5:00 PM
1,1628.0,30.83,11,Emirates,11:00-5:00 PM
2,1434.0,30.92,11,Finnair,5:00-11:00 PM
2,1621.0,25.67,11,British Airways,5:00-11:00 PM
2,1324.0,35.75,11,Other Airlines,5:00-11:00 AM
1,1628.0,30.83,11,Qantas Airways,11:00-5:00 PM
2,1230.0,36.83,11,Finnair,5:00-11:00 AM
1,1462.0,22.33,11,Qantas Airways,11:00-5:00 PM
3,761.0,43.5,11,Other Airlines,5:00-11:00 AM
1,1468.0,22.33,11,Emirates,11:00-5:00 PM
2,1303.0,25.58,11,SWISS,5:00-11:00 PM
2,1211.0,25.83,11,SWISS,5:00-11:00 PM
1,1337.0,34.75,11,Emirates,5:00-11:00 PM
3,908.0,36.0,11,Other Airlines,11:00-5:00 PM
2,1198.0,36.83,11,Finnair,5:00-11:00 AM
1,1365.0,34.75,11,Qantas Airways,5:00-11:00 PM
3,782.0,43.92,11,Other Airlines,5:00-11:00 AM
1,1789.0,23.17,11,Qantas Airways,5:00-11:00 PM
2,1366.0,25.58,11,SWISS,5:00-11:00 PM
1,1789.0,23.17,11,Emirates,5:00-11:00 PM
2,1198.0,39.25,11,Finnair,5:00-11:00 AM
2,1303.0,31.33,11,SWISS,11:00-5:00 PM
2,1499.0,26.83,11,Qantas Airways,5:00-11:00 PM
2,1310.0,31.08,11,KLM,11:00-5:00 PM
1,1603.0,22.33,11,Qantas Airways,11:00-5:00 PM
3,906.0,47.08,11,Other Airlines,11:00-5:00 AM
1,1603.0,22.33,11,Emirates,11:00-5:00 PM
2,1494.0,25.83,11,SWISS,5:00-11:00 PM
2,1574.0,26.08,11,Qantas Airways,5:00-11:00 PM
2,1575.0,26.58,11,Qantas Airways,5:00-11:00 PM
2,1575.0,26.83,11,Qantas Airways,5:00-11:00 PM
