Date,Flight Name,Stops,Price,Duration,Departure-Time,Arrival-Time
2024-10-30,"Aer Lingus, Cathay Pacific",2 stops,€893,40h 35m,17:15,20:50+2
2024-10-30,"Aer Lingus, Cathay Pacific",2 stops,€893,40h 35m,17:15,20:50+2
2024-10-30,SWISS,2 stops,"€1,322",25h 35m,18:40,07:15+2
2024-10-30,Qantas Airways,1 stop,"€1,839",23h 10m,20:50,07:00+2
2024-10-30,Air France,2 stops,"€1,163",33h 55m,16:40,13:35+2
2024-10-30,Lufthansa,2 stops,"€1,347",26h 50m,17:25,07:15+2
2024-10-30,"Lufthansa, Cathay Pacific",2 stops,"€1,392",26h 50m,17:25,07:15+2
2024-10-30,"Lufthansa, Qantas Airways",2 stops,"€1,387",27h 05m,17:25,07:30+2
2024-10-30,"SWISS, Qantas Airways",2 stops,"€1,321",25h 50m,18:40,07:30+2
2024-10-30,Emirates,1 stop,"€2,023",23h 10m,20:50,07:00+2
2024-10-30,"SWISS, Scoot",3 stops,"€1,110",31h 10m,18:40,12:50+2
2024-10-30,"Emirates, Qantas Airways",1 stop,"€2,041",23h 10m,20:50,07:00+2
2024-10-30,Turkish Airlines,2 stops,"€1,450",29h 45m,16:55,09:40+2
2024-10-30,"Turkish Airlines, Qantas Airways",2 stops,"€1,586",27h 35m,16:55,07:30+2
2024-10-30,Qantas Airways,1 stop,"€1,795",34h 45m,20:50,18:35+2
2024-10-30,"Aer Lingus, Malaysia Airlines",2 stops,"€1,231",37h 50m,19:45,20:35+2
2024-10-31,"Aer Lingus, Cathay Pacific",2 stops,"€1,008",27h 45m,16:30,07:15+2
2024-10-31,"Aer Lingus, China Eastern",2 stops,€702,30h 30m,16:30,10:00+2
2024-10-31,Multiple Airlines,3 stops,€660,57h 10m,13:05,09:15+3
2024-10-31,"Aer Lingus, Cathay Pacific",2 stops,€894,27h 35m,06:15,20:50+1
2024-10-31,"Aer Lingus, China Eastern",2 stops,€683,33h 55m,13:05,10:00+2
2024-10-31,"Aer Lingus, China Eastern",2 stops,€722,32h 45m,14:15,10:00+2
2024-10-31,"Aer Lingus, Cathay Pacific",2 stops,"€1,004",27h 45m,16:30,07:15+2
2024-10-31,"Aer Lingus, Malaysia Airlines",2 stops,"€1,019",26h 55m,06:40,20:35+1
2024-10-31,"Emirates, Qantas Airways",1 stop,"€1,443",23h 10m,20:50,07:00+2
2024-10-31,Qantas Airways,1 stop,"€1,443",23h 10m,20:50,07:00+2
2024-10-31,Emirates,1 stop,"€1,443",23h 10m,20:50,07:00+2
2024-10-31,United Airlines,2 stops,€872,33h 25m,11:50,08:15+2
2024-10-31,United Airlines,2 stops,€872,33h 25m,11:50,08:15+2
2024-10-31,United Airlines,2 stops,€872,33h 25m,11:50,08:15+2
2024-10-31,"British Airways, China Eastern",2 stops,€879,31h 00m,16:00,10:00+2
2024-10-31,Emirates,1 stop,"€1,342",30h 50m,13:10,07:00+2
2024-10-31,Multiple Airlines,3 stops,€780,33h 30m,13:05,09:35+2
2024-11-01,Qatar Airways,2 stops,"€2,432",31h 15m,14:10,08:25+2
2024-11-01,Qantas Airways,1 stop,"€1,628",23h 10m,20:50,07:00+2
2024-11-01,Finnair,2 stops,"€1,255",61h 45m,18:05,18:50+3
2024-11-01,"Emirates, Qantas Airways",1 stop,"€1,628",23h 10m,20:50,07:00+2
2024-11-01,SWISS,2 stops,"€1,303",31h 30m,12:45,07:15+2
2024-11-01,British Airways,2 stops,"€1,446",26h 10m,18:15,07:25+2
2024-11-01,Finnair,2 stops,"€1,434",28h 30m,18:05,09:35+2
2024-11-01,"British Airways, Malaysia Airlines",2 stops,"€1,342",31h 20m,16:00,10:20+2
2024-11-01,British Airways,2 stops,"€1,449",27h 55m,16:30,07:25+2
2024-11-01,Lufthansa,2 stops,"€1,324",32h 25m,11:50,07:15+2
2024-11-01,Qantas Airways,1 stop,"€1,462",38h 40m,20:50,22:30+2
2024-11-01,Qantas Airways,1 stop,"€2,056",22h 20m,13:10,22:30+1
2024-11-01,"Emirates, Qantas Airways",1 stop,"€1,628",30h 50m,13:10,07:00+2
2024-11-01,Finnair,2 stops,"€1,434",30h 55m,18:05,12:00+2
2024-11-01,British Airways,2 stops,"€1,621",25h 40m,18:15,06:55+2
2024-11-01,Lufthansa,2 stops,"€1,324",35h 45m,08:30,07:15+2
2024-11-01,Qantas Airways,1 stop,"€1,628",30h 50m,13:10,07:00+2
2024-11-02,Finnair,2 stops,"€1,230",36h 50m,09:45,09:35+2
2024-11-02,Qantas Airways,1 stop,"€1,462",22h 20m,13:10,22:30+1
2024-11-02,Multiple Airlines,3 stops,€761,43h 30m,07:05,13:35+2
2024-11-02,"Emirates, Qantas Airways",1 stop,"€1,468",22h 20m,13:10,22:30+1
2024-11-02,SWISS,2 stops,"€1,303",25h 35m,18:40,07:15+2
2024-11-02,"SWISS, Qantas Airways",2 stops,"€1,211",25h 50m,18:40,07:30+2
2024-11-02,"Emirates, Qantas Airways",1 stop,"€1,337",34h 45m,20:50,18:35+2
2024-11-02,Multiple Airlines,3 stops,€908,36h 00m,12:55,11:55+2
2024-11-02,Finnair,2 stops,"€1,198",36h 50m,09:45,09:35+2
2024-11-02,Qantas Airways,1 stop,"€1,365",34h 45m,20:50,18:35+2
2024-11-02,Multiple Airlines,3 stops,€782,43h 55m,06:40,13:35+2
2024-11-02,Qantas Airways,1 stop,"€1,789",23h 10m,20:50,07:00+2
2024-11-02,"SWISS, Cathay Pacific",2 stops,"€1,366",25h 35m,18:40,07:15+2
2024-11-02,"Emirates, Qantas Airways",1 stop,"€1,789",23h 10m,20:50,07:00+2
2024-11-02,Finnair,2 stops,"€1,198",39h 15m,09:45,12:00+2
2024-11-02,SWISS,2 stops,"€1,303",31h 20m,12:55,07:15+2
2024-11-02,Qantas Airways,2 stops,"€1,499",26h 50m,20:50,10:40+2
2024-11-03,KLM,2 stops,"€1,310",31h 05m,13:25,07:30+2
2024-11-03,Qantas Airways,1 stop,"€1,603",22h 20m,13:10,22:30+1
2024-11-03,Multiple Airlines,3 stops,€906,47h 05m,23:10,09:15+3
2024-11-03,"Emirates, Qantas Airways",1 stop,"€1,603",22h 20m,13:10,22:30+1
2024-11-03,"SWISS, Qantas Airways",2 stops,"€1,494",25h 50m,18:40,07:30+2
2024-11-03,Qantas Airways,2 stops,"€1,574",26h 05m,20:50,09:55+2
2024-11-03,Qantas Airways,2 stops,"€1,575",26h 35m,20:50,10:25+2
2024-11-03,Qantas Airways,2 stops,"€1,575",26h 50m,20:50,10:40+2
2024-11-03,KLM,2 stops,"€1,310",31h 05m,13:25,07:30+2
2024-11-03,Qantas Airways,2 stops,"€1,575",27h 05m,20:50,10:55+2
2024-11-03,Qantas Airways,2 stops,"€1,575",27h 35m,20:50,11:25+2
2024-11-03,Etihad Airways,2 stops,"€1,684",25h 00m,08:25,20:25+1
2024-11-03,Qantas Airways,2 stops,"€1,575",28h 05m,20:50,11:55+2
2024-11-03,Etihad Airways,2 stops,"€1,684",25h 30m,08:25,20:55+1
2024-11-03,British Airways,2 stops,"€1,596",28h 05m,15:50,06:55+2
2024-11-03,Etihad Airways,2 stops,"€1,684",26h 30m,08:25,21:55+1
2024-11-03,Qantas Airways,1 stop,"€2,021",23h 10m,20:50,07:00+2
2024-11-04,"British Airways, Malaysia Airlines",2 stops,€888,37h 25m,20:10,20:35+2
2024-11-04,British Airways,2 stops,"€1,027",26h 05m,17:50,06:55+2
2024-11-04,Multiple Airlines,3 stops,€778,35h 05m,15:30,13:35+2
2024-11-04,"Emirates, Qantas Airways",1 stop,"€1,313",22h 20m,13:10,22:30+1
2024-11-04,British Airways,2 stops,"€1,027",27h 55m,16:00,06:55+2
2024-11-04,Qantas Airways,1 stop,"€1,341",22h 20m,13:10,22:30+1
2024-11-04,Qantas Airways,1 stop,"€1,341",23h 10m,20:50,07:00+2
2024-11-04,"Emirates, Qantas Airways",1 stop,"€1,345",23h 10m,20:50,07:00+2
2024-11-04,British Airways,2 stops,"€1,068",27h 55m,16:00,06:55+2
2024-11-04,Air France,2 stops,"€1,091",26h 50m,16:40,06:30+2
2024-11-04,British Airways,2 stops,"€1,063",28h 25m,15:30,06:55+2
2024-11-04,Air France,2 stops,"€1,116",27h 45m,16:40,07:25+2
2024-11-04,British Airways,2 stops,"€1,063",29h 40m,14:15,06:55+2
2024-11-04,Multiple Airlines,2 stops,"€1,327",25h 10m,10:20,22:30+1
2024-11-04,"Aer Lingus, Qantas Airways",2 stops,"€1,327",25h 10m,10:20,22:30+1
2024-11-04,Turkish Airlines,2 stops,"€1,146",30h 25m,16:55,10:20+2
2024-11-04,British Airways,2 stops,"€1,116",30h 55m,13:00,06:55+2
2024-11-05,"British Airways, Malaysia Airlines",2 stops,€846,29h 25m,17:55,10:20+2
2024-11-05,"Aer Lingus, China Eastern",2 stops,€664,32h 45m,14:15,10:00+2
2024-11-05,Multiple Airlines,3 stops,€588,54h 15m,22:10,15:25+3
2024-11-05,"Aer Lingus, Cathay Pacific",2 stops,€874,28h 05m,18:30,09:35+2
2024-11-05,"Emirates, Qantas Airways",1 stop,"€1,121",22h 20m,13:10,22:30+1
2024-11-05,"British Airways, Malaysia Airlines",2 stops,€843,29h 25m,17:55,10:20+2
2024-11-05,"Aer Lingus, China Eastern",2 stops,€701,31h 30m,15:30,10:00+2
2024-11-05,Emirates,1 stop,"€1,136",22h 20m,13:10,22:30+1
2024-11-05,Qantas Airways,1 stop,"€1,146",22h 20m,13:10,22:30+1
2024-11-05,"British Airways, China Eastern",2 stops,€714,31h 00m,16:00,10:00+2
2024-11-05,"Aer Lingus, Air China",3 stops,€622,34h 00m,18:30,15:30+2
2024-11-05,"Aer Lingus, China Eastern",2 stops,€690,32h 45m,14:15,10:00+2
2024-11-05,"Hainan Airlines, China Southern",3 stops,€634,33h 20m,11:10,07:30+2
2024-11-05,"British Airways, China Eastern",2 stops,€791,30h 05m,16:55,10:00+2
2024-11-05,"Hainan Airlines, China Southern",3 stops,€634,33h 20m,11:10,07:30+2
2024-11-05,"Aer Lingus, Malaysia Airlines",2 stops,"€1,005",26h 55m,06:40,20:35+1
2024-11-05,"Aer Lingus, Malaysia Airlines",2 stops,€885,31h 50m,15:30,10:20+2
2024-11-06,Qatar Airways,2 stops,"€1,520",26h 30m,07:55,21:25+1
2024-11-06,"Qatar Airways, XiamenAir",3 stops,€823,33h 15m,14:10,10:25+2
2024-11-06,Qantas Airways,1 stop,"€1,144",34h 45m,20:50,18:35+2
2024-11-06,"British Airways, Malaysia Airlines",2 stops,€884,37h 25m,20:10,20:35+2
2024-11-06,"Qatar Airways, AirAsia X",2 stops,€916,32h 05m,14:10,09:15+2
2024-11-06,Qantas Airways,2 stops,"€1,267",26h 05m,20:50,09:55+2
2024-11-06,"Emirates, Qantas Airways",1 stop,"€1,603",22h 20m,13:10,22:30+1
2024-11-06,Qantas Airways,1 stop,"€1,603",22h 20m,13:10,22:30+1
2024-11-06,"British Airways, Malaysia Airlines",2 stops,"€1,171",31h 20m,16:00,10:20+2
2024-11-06,"British Airways, China Airlines",2 stops,€976,38h 00m,11:10,12:10+2
2024-11-06,Qantas Airways,2 stops,"€1,295",27h 35m,20:50,11:25+2
2024-11-06,Lufthansa,2 stops,"€1,093",35h 45m,08:30,07:15+2
2024-11-06,Etihad Airways,2 stops,"€1,439",25h 00m,08:25,20:25+1
2024-11-06,"Finnair, British Airways",2 stops,"€1,147",34h 10m,09:45,06:55+2
2024-11-06,Etihad Airways,2 stops,"€1,042",38h 15m,08:25,09:40+2
2024-11-06,Etihad Airways,2 stops,"€1,042",38h 15m,08:25,09:40+2
2024-11-07,"Aer Lingus, Cathay Pacific",2 stops,€900,27h 45m,16:30,07:15+2
2024-11-07,"Aer Lingus, Cathay Pacific",2 stops,€896,27h 45m,16:30,07:15+2
2024-11-07,"Aer Lingus, Hainan Airlines",3 stops,€560,45h 25m,06:30,14:55+2
2024-11-07,Qantas Airways,1 stop,"€1,194",22h 20m,13:10,22:30+1
2024-11-07,"Aer Lingus, Cathay Pacific",2 stops,€909,28h 05m,18:30,09:35+2
2024-11-07,"Aer Lingus, Malaysia Airlines",2 stops,€936,26h 55m,06:40,20:35+1
2024-11-07,"Aer Lingus, Cathay Pacific",2 stops,€902,28h 45m,15:30,07:15+2
2024-11-07,"Aer Lingus, China Eastern",2 stops,€829,30h 30m,16:30,10:00+2
2024-11-07,Emirates,1 stop,"€1,232",23h 10m,20:50,07:00+2
2024-11-07,Qantas Airways,1 stop,"€1,244",23h 10m,20:50,07:00+2
2024-11-07,Austrian Airlines,2 stops,€869,34h 15m,11:50,09:05+2
2024-11-07,"Aer Lingus, China Eastern",2 stops,€819,31h 30m,15:30,10:00+2
2024-11-07,Austrian Airlines,2 stops,€869,34h 15m,11:50,09:05+2
2024-11-07,"Aer Lingus, Cathay Pacific",2 stops,€895,30h 00m,14:15,07:15+2
2024-11-07,"Aer Lingus, Cathay Pacific",2 stops,€895,30h 00m,14:15,07:15+2
2024-11-07,"Aer Lingus, Cathay Pacific",2 stops,€909,30h 05m,16:30,09:35+2
2024-11-07,"Emirates, Qantas Airways",1 stop,"€1,245",23h 10m,20:50,07:00+2
2024-11-08,Qantas Airways,1 stop,"€1,170",22h 20m,13:10,22:30+1
2024-11-08,"Finnair, British Airways",2 stops,"€1,147",25h 50m,18:05,06:55+2
2024-11-08,"Emirates, Qantas Airways",1 stop,"€1,171",22h 20m,13:10,22:30+1
2024-11-08,Multiple Airlines,2 stops,"€1,218",25h 10m,10:20,22:30+1
2024-11-08,KLM,3 stops,"€1,173",26h 45m,17:25,07:10+2
2024-11-08,Finnair,2 stops,"€1,198",28h 30m,18:05,09:35+2
2024-11-08,Finnair,2 stops,"€1,198",30h 55m,18:05,12:00+2
2024-11-08,Emirates,2 stops,"€1,184",31h 15m,13:10,07:25+2
2024-11-08,Finnair,2 stops,"€1,547",25h 25m,18:05,06:30+2
2024-11-08,Finnair,2 stops,"€1,547",26h 20m,18:05,07:25+2
2024-11-08,"Finnair, Qantas Airways",2 stops,"€1,604",25h 25m,18:05,06:30+2
2024-11-08,Qantas Airways,1 stop,"€1,170",34h 45m,20:50,18:35+2
2024-11-08,Qantas Airways,2 stops,"€1,597",26h 05m,20:50,09:55+2
2024-11-08,Turkish Airlines,2 stops,"€1,441",29h 50m,16:50,09:40+2
2024-11-08,Multiple Airlines,2 stops,"€1,700",25h 00m,10:30,22:30+1
2024-11-09,Qatar Airways,2 stops,"€1,554",29h 00m,14:10,06:10+2
2024-11-09,Qantas Airways,1 stop,"€1,197",22h 20m,13:10,22:30+1
2024-11-09,Multiple Airlines,3 stops,€868,34h 45m,09:45,07:30+2
2024-11-09,Qantas Airways,1 stop,"€1,197",23h 10m,20:50,07:00+2
2024-11-09,"Emirates, Qantas Airways",1 stop,"€1,229",22h 20m,13:10,22:30+1
2024-11-09,Air France,2 stops,"€1,115",26h 50m,16:40,06:30+2
2024-11-09,"Emirates, Qantas Airways",1 stop,"€1,229",23h 10m,20:50,07:00+2
2024-11-09,Air France,2 stops,"€1,115",27h 45m,16:40,07:25+2
2024-11-09,Multiple Airlines,3 stops,€868,34h 45m,09:45,07:30+2
2024-11-09,Finnair,2 stops,"€1,081",33h 45m,09:45,06:30+2
2024-11-09,Qantas Airways,1 stop,"€1,197",34h 45m,20:50,18:35+2
2024-11-09,Multiple Airlines,3 stops,€872,34h 45m,09:45,07:30+2
2024-11-09,Finnair,2 stops,"€1,084",34h 10m,09:45,06:55+2
2024-11-09,Finnair,2 stops,"€1,081",34h 40m,09:45,07:25+2
2024-11-09,Qantas Airways,1 stop,"€1,197",38h 40m,20:50,22:30+2
2024-11-09,KLM,2 stops,"€1,189",27h 10m,17:20,07:30+2
2024-11-10,KLM,2 stops,"€1,731",27h 10m,17:20,07:30+2
2024-11-10,KLM,3 stops,"€1,619",27h 05m,17:20,07:25+2
2024-11-10,KLM,3 stops,"€1,712",26h 50m,17:20,07:10+2
2024-11-10,KLM,2 stops,"€1,997",26h 10m,17:20,06:30+2
2024-11-10,KLM,2 stops,"€1,997",27h 05m,17:20,07:25+2
2024-11-10,KLM,3 stops,"€1,712",30h 45m,13:25,07:10+2
2024-11-10,KLM,2 stops,"€1,997",30h 05m,13:25,06:30+2
2024-11-11,British Airways,2 stops,"€1,037",27h 55m,16:00,06:55+2
2024-11-11,"Emirates, Qantas Airways",1 stop,"€1,121",22h 20m,13:10,22:30+1
2024-11-11,Multiple Airlines,3 stops,€610,42h 20m,08:15,13:35+2
2024-11-11,Qantas Airways,1 stop,"€1,132",22h 20m,13:10,22:30+1
2024-11-11,Qantas Airways,1 stop,"€1,146",23h 10m,20:50,07:00+2
2024-11-11,"Emirates, Qantas Airways",1 stop,"€1,146",23h 10m,20:50,07:00+2
2024-11-11,Turkish Airlines,2 stops,€902,30h 25m,16:55,10:20+2
